mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.004220414161682129,0.00022069077813805202,0.0020990371704101562,0.00022305252684423385,3,2,"{'max_depth': 3, 'min_samples_split': 2}",-4728.625113659656,-3584.196349200346,-2693.043539827835,-3502.151372950279,-2994.7865134652106,-3023.0275883705576,-5533.704523339351,-2957.309480868351,-4641.219355919755,-4180.72459732998,-3783.8788434931316,896.7105500827773,10,-3037.957420026458,-3122.670591164475,-3134.8223734821267,-3155.824972616537,-3060.4263515832504,-3210.430460596258,-2827.870926289743,-3235.0700137199474,-3168.8232596568205,-3131.033408908989,-3108.49297780446,109.421099955969
0.004036569595336914,0.000416236372220257,0.0019956111907958986,0.00018733183016255513,3,5,"{'max_depth': 3, 'min_samples_split': 5}",-4728.625113659656,-3584.196349200346,-2693.043539827835,-3502.151372950279,-2994.7865134652106,-3023.0275883705576,-5533.704523339351,-2957.309480868351,-4641.219355919755,-4180.72459732998,-3783.8788434931316,896.7105500827773,10,-3037.957420026458,-3122.670591164475,-3134.8223734821267,-3155.824972616537,-3060.4263515832504,-3210.430460596258,-2827.870926289743,-3235.0700137199474,-3168.8232596568205,-3131.033408908989,-3108.49297780446,109.421099955969
0.004252958297729492,0.00010558949211972107,0.002114558219909668,7.287098792852417e-05,3,10,"{'max_depth': 3, 'min_samples_split': 10}",-4728.625113659656,-3584.196349200346,-2693.043539827835,-3502.151372950279,-2994.7865134652106,-3023.0275883705576,-5533.704523339351,-2957.309480868351,-4641.219355919755,-4180.72459732998,-3783.8788434931316,896.7105500827773,10,-3037.957420026458,-3122.670591164475,-3134.8223734821267,-3155.824972616537,-3060.4263515832504,-3210.430460596258,-2827.870926289743,-3235.0700137199474,-3168.8232596568205,-3131.033408908989,-3108.49297780446,109.421099955969
0.005005502700805664,0.000565039348862336,0.0019777297973632814,0.0002697730569986673,5,2,"{'max_depth': 5, 'min_samples_split': 2}",-2112.6683538792927,-3089.2869003829614,-1448.7776755124603,-2130.240806681303,-1758.7040224489804,-2508.2250309469828,-2775.601929423154,-1827.5106041910853,-2661.2398236607005,-2581.3063653592135,-2289.3561512486135,490.4856344127633,8,-1527.2565462325088,-1464.5442103152482,-1339.492117233616,-1502.6923322520975,-1331.1426919559945,-1491.8843934482045,-1154.085975295728,-1544.968352304093,-1460.6317061487325,-1576.787914979677,-1439.3486240165898,121.93757932823573
0.0051270008087158205,0.00042452755957674075,0.002966570854187012,0.002523972825905848,5,5,"{'max_depth': 5, 'min_samples_split': 5}",-2112.6683538792927,-3089.2869003829614,-1515.7584271310313,-2214.349009167109,-1753.0838496291628,-2508.2250309469828,-2775.6019294231555,-1827.5106041910853,-2661.2398236607005,-2519.632924884813,-2297.735685329629,474.45103201025114,9,-1527.2565463627122,-1464.5442103152482,-1341.5521358871144,-1506.101659335313,-1333.0793591068798,-1491.8843935781467,-1156.4279280695382,-1550.0811901509428,-1460.6317061487325,-1593.1778556497352,-1442.4736984604365,123.59630557896784
0.004965496063232422,0.00045879201073205356,0.0022794246673583985,0.0005890781793771264,5,10,"{'max_depth': 5, 'min_samples_split': 10}",-2089.8149023734895,-2819.558699076536,-1487.4732599293434,-2243.789419938036,-1926.6123075523599,-2460.2676854289452,-2793.4560706006378,-1806.5981128059173,-2692.0707587728934,-2541.0396448945826,-2286.0680861372743,428.8828946823856,7,-1564.955545506808,-1520.7891422525092,-1373.7432191610346,-1542.4843972373515,-1375.1373365712109,-1532.893287349918,-1213.10741721463,-1575.1712298300959,-1497.4484059171434,-1628.3820982636767,-1482.4112079304377,118.50006273797983
0.007870030403137208,0.0015174102509664287,0.0023707151412963867,0.0008063213437544316,10,2,"{'max_depth': 10, 'min_samples_split': 2}",-1511.9783809120952,-1491.0103709399252,-1895.2812417872499,-1125.4116704001965,-1882.793891001917,-1309.609947936428,-1326.0074068465003,-1974.8877204986218,-1539.6704360719016,-1258.9548175992306,-1531.5605883994067,280.19191500515416,2,-140.56649077230352,-184.3299579274968,-191.0765680394503,-153.2149254734166,-79.39311395474265,-114.12186221869085,-185.17822837187975,-284.17961738951516,-147.71998366012386,-119.73076993313224,-159.95115177407519,53.30157450229739
0.0069293022155761715,0.0009357045502452977,0.002128934860229492,5.291874246346431e-05,10,5,"{'max_depth': 10, 'min_samples_split': 5}",-1420.6199656085664,-1428.7183433304078,-1646.4954693274321,-1319.0153724827758,-2182.6692782441323,-1414.6060067493343,-1284.1703157781903,-2213.6761973489974,-1448.0220131774886,-1261.7877891022883,-1561.9780751149615,334.0476339909279,4,-226.07237856765184,-275.5645285890142,-259.1820008768124,-251.62796007866697,-150.580751843131,-179.59850719436074,-247.95958540317466,-335.94928533271485,-237.44664881510153,-199.66827798843457,-236.36499246890625,49.37283684443281
0.006169939041137695,0.0001441658300962315,0.0021402597427368163,0.00014241855344047626,10,10,"{'max_depth': 10, 'min_samples_split': 10}",-1674.2408823396547,-1526.0150476482274,-1580.1978793362453,-1487.1499250685686,-1834.8247407974725,-1368.769961136707,-1112.0515931313728,-1967.1617541641747,-1667.5372874070401,-1306.5042402707184,-1552.445331130018,239.52259126975366,3,-461.79993539633244,-560.4211072767939,-465.81792083421044,-471.78592990702487,-382.88967792850127,-406.72084383179134,-478.6005498992945,-489.93579743297937,-458.09834719006915,-396.0948217260801,-457.21649314230774,49.29219671161828
0.009105634689331055,0.0024324804239909833,0.0023273229598999023,0.0007345013234889466,,2,"{'max_depth': None, 'min_samples_split': 2}",-1712.5959147652272,-1392.9783101337089,-1605.727429711586,-1435.948917037476,-2153.1476713453103,-1548.8489039301805,-1407.885537371478,-2594.9145543611985,-1753.8901345439263,-1167.8782972654876,-1677.3815670465578,396.02592968670314,6,-1.9504070026872822e-29,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9464905227622075e-29,-1.9464905227622075e-29,-0.0,-1.9464905227622075e-29,-7.789878570973905e-30,9.540619857582116e-30
